,Sentence #,Word,POS,Tag
0,0,Record,NOUN,O
1,0,date,NOUN,O
2,0,Campbell,PROPN,O
3,0,Orthopedic,PROPN,O
4,0,Associates,PROPN,O
5,0,Madera,PROPN,O
6,0,Circle,PROPN,O
7,0,Omak,PROPN,O
8,0,GA,PROPN,O
9,0,Habib,PROPN,O
10,0,Valenzuela,PROPN,O
11,0,M.D.,PROPN,O
12,0,Valdez,PROPN,O
13,0,Harlan,PROPN,O
14,0,Jr,PROPN,O
15,1,February,PROPN,O
16,1,Har,PROPN,O
17,1,is,AUX,O
18,1,a,DET,O
19,1,year,NOUN,O
20,1,old,ADJ,O
21,1,pound,NOUN,O
22,1,gentleman,NOUN,O
23,1,who,PRON,O
24,1,is,AUX,O
25,1,referred,VERB,O
26,1,for,ADP,O
27,1,consultation,NOUN,O
28,1,by,ADP,O
29,1,Dr.,PROPN,O
30,1,Harlan,PROPN,O
31,1,Oneil,PROPN,O
32,2,About,ADV,O
33,2,a,DET,O
34,2,week,NOUN,O
35,2,ago,ADV,O
36,2,he,PRON,O
37,2,slipped,VERB,O
38,2,on,ADP,O
39,2,the,DET,O
40,2,driveway,NOUN,O
41,2,at,ADP,O
42,2,home,NOUN,O
43,2,and,CCONJ,O
44,2,sustained,VERB,O
45,2,an,DET,O
46,2,injury,NOUN,B
47,2,to,ADP,I
48,2,his,PRON,I
49,2,left,ADJ,I
50,2,ankle,NOUN,I
51,3,He,PRON,O
52,3,was,AUX,O
53,3,seen,VERB,O
54,3,at,ADP,O
55,3,TriCity,PROPN,O
56,3,Hospital,PROPN,O
57,3,and,CCONJ,O
58,3,was,AUX,O
59,3,told,VERB,O
60,3,he,PRON,O
61,3,had,VERB,O
62,3,a,DET,O
63,3,fracture,NOUN,O
64,4,He,PRON,O
65,4,was,AUX,O
66,4,placed,VERB,O
67,4,in,ADP,O
68,4,an,DET,O
69,4,air,NOUN,O
70,4,splint,NOUN,O
71,4,and,CCONJ,O
72,4,advised,VERB,O
73,4,to,PART,O
74,4,be,VERB,O
75,4,partial,ADJ,O
76,4,weight,NOUN,O
77,4,bearing,NOUN,O
78,4,and,CCONJ,O
79,4,he,PRON,O
