,Sentence #,Word,POS,Tag
0,0,VITAL,ADJ,O
1,0,SIGNS,NOUN,O
2,0,-,PUNCT,O
3,0,Temp,NOUN,O
4,0,98.8,NUM,O
5,0,",",PUNCT,O
6,0,pulse,NOUN,O
7,0,60,NUM,O
8,0,",",PUNCT,O
9,0,BP,PROPN,O
10,0,150/94,NUM,O
11,0,",",PUNCT,O
12,0,respiratory,ADJ,O
13,0,rate,NOUN,O
14,0,18,NUM,O
15,0,",",PUNCT,O
16,0,and,CCONJ,O
17,0,saturation,NOUN,O
18,0,96%,NOUN,O
19,0,on,ADP,O
20,0,room,NOUN,O
21,0,air,NOUN,O
22,0,.,PUNCT,O
23,1,No,DET,O
24,1,lotions,NOUN,B
25,1,",",PUNCT,O
26,1,creams,NOUN,O
27,1,or,CCONJ,O
28,1,powders,NOUN,O
29,1,to,ADP,O
30,1,incisions,NOUN,B
31,1,.,PUNCT,O
32,4,Initial,ADJ,O
33,4,electrocardiogram,NOUN,O
34,4,showed,VERB,O
35,4,a,DET,O
36,4,normal,ADJ,O
37,4,sinus,NOUN,O
38,4,rhythm,NOUN,O
39,4,at,ADP,O
40,4,65,NUM,O
41,4,",",PUNCT,O
42,4,normal,ADJ,O
43,4,axis,NOUN,O
44,4,",",PUNCT,O
45,4,2-mm,NUM,O
46,4,ST,PROPN,O
47,4,elevations,NOUN,O
48,4,in,ADP,O
49,4,lead,NOUN,O
50,4,III,PROPN,O
51,4,",",PUNCT,O
52,4,1-mm,NUM,O
53,4,ST,PROPN,O
54,4,elevations,NOUN,O
55,4,in,ADP,O
56,4,aVF,PROPN,O
57,4,and,CCONJ,O
58,4,V1,NOUN,O
59,4,",",PUNCT,O
60,4,1-mm,NUM,B
61,4,ST,PROPN,I
62,4,depressions,NOUN,I
63,4,in,ADP,I
64,4,I,PRON,I
65,4,and,CCONJ,I
66,4,aVL,PROPN,I
67,4,;,PUNCT,O
68,4,consistent,ADJ,O
69,4,with,ADP,O
70,4,an,DET,B
71,4,inferior,ADJ,I
72,4,and,CCONJ,I
73,4,right,ADJ,I
74,4,ventricular,ADJ,I
75,4,infarction,NOUN,I
76,4,.,PUNCT,O
77,5,Abdominal,ADJ,B
78,5,ultrasound,NOUN,I
79,5,on,ADP,O
80,5,2/23/00,PROPN,O
81,5,-,PUNCT,O
82,5,This,DET,O
83,5,study,NOUN,O
84,5,revealed,VERB,O
85,5,gallbladder,NOUN,B
86,5,sludge,NOUN,I
87,5,but,CCONJ,O
88,5,no,DET,O
89,5,cholelithiasis,NOUN,O
90,5,.,PUNCT,O
91,6,At,ADP,O
92,6,that,DET,O
93,6,time,NOUN,O
94,6,he,PRON,O
95,6,was,AUX,O
